Sentiment	Text
Positive	Ariana Grande White House Easter Egg Roll in Washington 
Positive	Hairspray Live! Previews at the Macy's Thanksgiving Day Parade! 
Positive	which one would you prefer to listen to for a whole day? :smiling_face_with_heart-eyes::sign_of_the_horns_medium-light_skin_tone:; i could never choose #arianagrande #IntoYou #SideToSide #songs #Poll
Neutral	Booty Baby Ari#ArianaGrande #PrincessAri #bootybaby #DangerousWomanTour #DangerousWoman… 
Positive	#Beauty #ArianaGrande-CHRISTMAS & CHILL-JAPAN ONLY #CD BONUS TRACK C94 
Neutral	Ariana Grande Private Event for Coach in Japan, August 2015 
Positive	4. One last time - #ArianaGrande
Positive	so much love for this woman, ughh :ring::ring: #arianagrande 
Positive	New on @Twitter . Big fan of @NICKIMINAJ and @ArianaGrande #ArianaGrande #NickiMinaj #Barbies #Barbz #Arianators… 
Negative	#BlackLivesMatter #potus #HillaryClinton You called for this. Getting what you chanted for. Disgraceful! You have i… 
Neutral	@Sosa_Baby49 so you also don't even understand what #BlackLivesMatter actually means and what they represent? Lol you're dismissed kid
Negative	Electoral College must reject Trump 
Neutral	The latest The Humanitarian Daily! 
Negative	#BlackLivesMatter..blocking access to white owned stores?..in 1933 Nazis boycotted Jewish owned stores..didn't know there were kaffir Nazis.
Positive	Keep it up #BlackLivesMatter, you'll ensure a @realDonaldTrump victory in 2020 :winking_face: #MAGA 
Neutral	VID Hide Your Valuables Inside a Hollowed Out Decorative Candle  32416  
Neutral	@Mysonne @NYjusticeleague & Faith Leaders #ShutDown Lord & Taylor for #EricGarner #DeborahDanner and… 
Negative	@Billysmithjr33 of course it is relevant to #BlackLivesMatter, a black life was brutally taken away...
Neutral	Hashtag Activism and Why #BlackLivesMatter In (and To) the Classroom by Prudence Cumberbatch Nicole Trujillo-Pagán, 
Negative	WOW! LISTEN To The Hate: Black Girl's White Boyfriend Goes On RACIST Rant ... 
Negative	@MrsESK #BlackLivesMatter proving they are indeed racist.  Appreciate you letting the world know. This will be tetweeted
Neutral	#BlackLivesMatter planning to disrupt #BlackFriday Shoppers in Chicago. Rahm Emanuel can't keep citizens safe, but… 
Positive	WATCH @VicMensa '16 Shots' by @ace_norton #musicvideo #catchup #BlackLivesMatter #indestructableVic 
Negative	@Cuellar360 those crazy white people #BlackLivesMatter @JoePrich @LeahRBoss @HotNostrilsrFun
Positive	LIVE on #Periscope: Justice for Kenneth Chamberlin Sr. #blacklivesmatter 
Negative	Is the #American #CriminalJustice system broken?  Yes!  Is #BlackLivesMatter fixing the problems?  NOPE!  #BLM just inciting a race war.
Negative	Be on guard #BlackLivesMatter is attacking Police. Hillary Podesta & Soros all behind this. They Lost - #BLM needs to be arrested #pizzagate
Negative	Trump should be made to cough up #reparations #kevlar and #ammo #MakeAmericaHateAgain #BlackLivesMatter #Hatecrimes #notmypresident
Neutral	Black Lives Matter Lesson Series: Part 1 
Positive	#BlackLivesMatter Excellent analogy. 
Neutral	"Luis Enrique: Neymar booed? ""It was just the last five to 10 minutes there was an issue with regards to the crowd shouting."" #fcblive"
Positive	:movie_camera::camera: @andresiniesta8  is well on the road to recovery. Check in on his progress in this video:… 
Neutral	"Cover: ""Leo 100"" [md] #fcblive "
Positive	Pictures: Andrés Iniesta in his recovery stages. #fcblive  
Positive	Yesterday #Messi became the 1st player in the history of the game to score 100 goals for a club in the history of the game!! #FCBLive
Neutral	Suarez putting ice cubes down the back of Neymar's shirt during warm up yesterday. #fcblive 
Positive	"Tw FCB: "":clapping_hands: Thank you, Steven Gerrard, for everything you have given to the world of football. You will never walk a… "
Positive	"Carles Aleña (Barca B player): ""Luis Enrique told me to be patient and work hard and I will get my chance."" #fcblive"
Neutral	Screenshot: Luis Enrique has given debut to 11 Barca B players since taking over in 2014 #fcblive [sport] 
Positive	":speaker_medium_volume: Leo #Messi: ""I am very happy with the game we played at Celtic Park, and for qualifying (to the knockout stages)""… "
Positive	OMG !! Best FIFA 17 Goal Ever !!! #fifa17 #psn #goal #fcbarcelona #neymar #FCBlive  
Positive	Graphic: All of Messi's good passes against Celtic #fcblive 
Neutral	Umtiti, Mathieu and Iniesta trained today as they try to get over their injuries ahead of the Clasico. [sport] #FCBlive
Positive	:basketball:Good practice and ready for tomorrow! @J_Doellman @Victor_Claver #fcblive 
Neutral	"Messi: ""Anoeta is a complicated stadium where we haven't won in years"" #fcblive"
Positive	"Cover: ""Barca are the best team in the world"" #fcblive [sport] "
Negative	Oh shit , we are playing against sociedad on Sunday at the anoeta :thinking_face::face_without_mouth:#fcblive
Positive	I'M ON THE BEST TEAM IN THE WORLD AND DON'T DEPEND ON ANY PLAYER #fcblive (@lesportiucat) 
Neutral	Messi during a promotional event for his Adidas boots on Thursday #fcblive [reuters] 
Neutral	Worldwide kickoff times for the game against Real Sociedad. [fcb] #FCBlive 
Positive	We are family :red_heart: #fcblive #FCB #messi #Barcelona 
Neutral	Since becoming Barça coach in 2014, Luis Enrique has now given first team debuts to 11 players from the B team.… 
Neutral	As Rakitic & Neymar both got yellow carded against Celtic & will therefore sit out the final game in Group C, at home to M'Gladbach #fcblive
Positive	"Lopetegui (coach Spain): ""For The Best FIFA Men’s Player 2016 award I have voted for Messi, Cristiano and Ramos"" #fcblive [cope]"
Neutral	40 of Messi's 471 goals for Barca have been assisted by his striking partners Neymar (20) and Suarez (20) #fcblive… 
Positive	The new Miniestadi could be renamed after Cryuff as one of the options to remember him [@ClubMitjanit] #fcblive
Neutral	[1/2] Today's training session #fcblive [fcb] 
Neutral	:basketball:@KoponenPetteri is ready #fcblive #GSOFCB 
Positive	"Congratulations to Messi has been voted UEFA Champions League ""Player of the Week"". #LeoMessi #UEFA #UCL… "
Neutral	Image: The new Red Limit MESSI 16 boots that Leo Messi will wear for the first time this weekend against Real Socie… 
Positive	@jimmyfallon at least wait untill the end for your #GilmoreGirlsTop4 . Mine are Luke, Paul Anka, Suki and Babette. #TeamJess  all the way
Neutral	Paris Geller, Emily Gilmore, Mrs. Kim, Miss Patty #GilmoreGirlsTop4
Neutral	#GilmoreGirlsTop4: 1. Emily Gilmore, 2. Paul Anka (the dog), 3. Paris Geller, 4. Miss Celine
Positive	4) Kirk 3) Mrs. Kim 2) Luke 1) Richard Gilmore #GilmoreGirlsTop4
Neutral	#4Mrs.Kim#3Emily#2Luke#1Sookie #GilmoreGirlsTop4
Positive	1. Luke2. Jess3. Lane 4. Taylor  #GilmoreGirlsTop4
Positive	OMG 3 out of @jimmyfallon's #GilmoreGirlsTop4 will be on @FallonTonight!!! #Hyperventilating :grinning_face_with_big_eyes::grinning_face_with_big_eyes::grinning_face_with_big_eyes::upside-down_face::upside-down_face::upside-down_face: @GilmoreGirls @netflix
Neutral	Luke, Kirk, the town troubadour, and Babette ( Also love Richard and Jess). #canitbeatopsix #GilmoreGirlsTop4  
Positive	Tonight on @FallonTonight CAPE 2017 guest @seangunnKirk is Jimmy's second favourite @GilmoreGirls character. #GilmoreGirlsTop4@CAPE_2015
Positive	@FallonTonight (without the Gilmore Girls) 4. Madeline 3. Finn 2. Zack 1. Lane or Sookie.But I :red_heart: them all! #GilmoreGirlsTop4
Positive	@jimmyfallon #GilmoreGirlsTop4 Top 4 + invisible 51. Jess :smiling_face_with_heart-eyes:2. Paris:face_with_tears_of_joy:3. Luke:purple_heart:4. Sookie:balloon:5. Taylor :grinning_face_with_sweat:
Neutral	#GilmoreGirlsTop4 -Jess-Sookie-Michel-Lane
Positive	#GilmoreGirlsRevival  #GilmoreGirlsTop4 1. Luke 2. Miss Patty 3. Mrs. Kim 4. Paul Anka Can't wait for this Friday :beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:
Neutral	@jimmyfallon #GilmoreGirlsTop4 Lorelai, Rory, Lane, Sookie @AmelitaRae @rushell65
Positive	#GilmoreGirlsTop4 Kirk, Sookie, Luke and Jess
Positive	I am so excited to see @liza_weil, @seangunn and @ScottGPatterson on @FallonTonight. #GilmoreGirlsTop4 #FallonTonight
Positive	My #GilmoreGirlsTop4 is ; 4. Babette. 3. Miss Patty. 2. Luke. 1. Richard & Emily, ( as they are one!) :red_heart:
Neutral	@GilmoreGirls @jimmyfallon #gilmoregirlstop41. Luke 2. Jesse3. Sookie4. Emily
Positive	Other than Lorelai and Rory, #GilmoreGirlsTop4 characters are: 4.Sookie 3.Kirk 2.Jess 
Neutral	#GilmoreGirlsTop41. Luke2. Emily Gilmore3. Sukie4. Paris
Positive	#GilmoreGirlsTop4 Luke, Lorelai, Jess, Lane
Positive	My #GilmoreGirlsTop4 4) Madeline 3) Kirk2) Luke 1) Richard
Neutral	@jimmyfallon #gilmoregirlstop4 4)Paris3)Luke2)Sookie1)Emily...how could you forget Emily, @jimmyfallon ?!
Positive	#GilmoreGirlsTop4 Jess, Michel, Paris, Dave. Gosh it's so hard only choosing 4!
Positive	4. Sookie3. Kirk2. Richard1. Luke#GilmoreGirlsTop4
Neutral	My #GilmoreGirlsTop4 1-Emily2-Paris3-Luke4-Babette The BFs are a given so they don't count
Positive	@YanicTruesdale Michel is in the #GilmoreGirlsTop4 I appreciate the comedy relief you have provided all these years.
Neutral	@abgreenwood My #GilmoreGirlsTop4  1. Luke2. Kirk3. Miss Patty4. Sookie
Positive	Emily, Paris, Kirk, and TJ.#GilmoreGirlsTop4 #SookietheInvisible5th #teamLOGAN (Yes, I know, an unpopular opinion)
Negative	#gilmoregirlstop44. Babette3. Miss Patty2. Lorelai1. KirkColor me surprised at how many people don't know how to spell Kirk.
Positive	#gilmoregirlstop41).  Lane's Mom (Hello @jimmyfallon!)2).  Michel!!3).  Kirk (obviously)4).  Babette while running and holding her boobs
Positive	#GilmoreGirlsTop4 brought to you by 1. Babette 2. Jackson 3. Jess 4. Brian :smiling_face_with_open_hands: Happy #GilmoreGirlsRevival Day!!
Negative	.@pimping_is_easy @IsraeliteCanaan @haaretzcom #hamas is killing #Palestine. Here's the leader's son telling truth 
Neutral	#Hamas loves the fires in #Israel.  Why shoot rockets, when a few matches can burn homes, forests and force evauation. There's no Iron Dome
Negative	Has #Obama ever apologized for the terrorists, and racists whom he's embraced? #Hamas #BLM #CAIR #NOI #MuslimBrotherhood, to name a few!:thinking_face::face_with_rolling_eyes:
Negative	@HanadiZain @haifa216 @Israellycool @Ostrov_A There are no innocent Pals. They are all taught to hate and kill. #IS #Hamas #terrorists
Positive	"Another great article from this site. ""@CAIRNational claims to be a civil rights organization , but is actually… "
