sentence1	sentence2	gold_label
Tallahassee Mayor and Democratic gubernatorial candidate Andrew Gillum, speaks during a briefing on Hurricane Michael in Tallahassee, Fla., Wednesday Oct. 10, 2018. In the days before Hurricane Michael made landfall, Gillum blanketed the national airwaves, sounding much like the man he wants to replace, Gov. Rick Scott, who constantly urged residents to seek shelter and take the massive storm seriously. Gary Fineout AP Photo	Gillum was on TV urging residents to stay out of the storm.	entailment
MELBOURNE will look to avoid stumbling against Carlton, just as it did in late 2016, when the rivals clash in Round 2 at the MCG. Melbourne's slim finals chances were dashed by the Blues in Round 22 last season but after a season-opening win against St Kilda, hopes are high at Demonland. The Demons have only won their first two games of the season twice since 1995. LIVE stream every game of every round of the 2017 Toyota AFL Premiership Season on FOX SPORTS. Get your free 2-week FOXTEL PLAY trial and start watching in minutes. SIGN UP NOW >> Follow the action in our live blog!	Carlton beat Melbourne in 2016 and will attempt to beat them again this year.	entailment
by Ted Raymond, Newstalk 580 CFRA A stretch of Highway 17 between Pembroke and Mattawa has reopened, after being closed due to a fatal crash. Ontario Provincial Police say a motorcycle and a car collided just before 12:00 p.m. Friday, near Deux Rivieres. The motorcycle passenger was taken to hospital by air ambulance and was pronounced dead. The driver of the motorcycle was seriously injured. The driver of the other vehicle was not hurt. An OPP news release said westbound traffic was being diverted south on Highway 41 at Pembroke. The road reopened just after 6:30 p.m.	The road was closed for more than two hours after the crash	entailment
"Earnings before interest and tax jumped to 4.55 billion euros ($5.34 billion) from 1.90 billion a year earlier, VW said in a statement on Thursday. ""I am firmly convinced that our financial footing is adequate to cope with the transformation in the automotive industry and topics of the future,"" finance chief Frank Witter said in the statement."	VW wants to be part of the transformation in the automotive industry. 	entailment
INDIANAPOLIS!! WIN PASSES TO SEE DEN OF THIEVES, Wednesday January 17th at 7pm!! 1) go to www.facebook.com/TheFilmYap. Share the post about this contest. 2) Go back to www.facebook.com/TheFilmYap and comment on the post about this contest. Synopsis: DEN OF THIEVES is a gritty Los Angeles crime saga which follows the intersecting and often personally connected lives of an elite unit of the LA County Sheriff’s Dept. and the state’s most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank of downtown Los Angeles. Comments comments	You have to be on Facebook to win these tickets to see Den of Thieves.	entailment
Clifford Jarvis (August 26, 1941 – November 26, 1999) was an American hard bop and free jazz drummer, who in the 1980s moved to London, England, where he died. This entry is from Wikipedia , the user-contributed encyclopedia. It may not have been reviewed by professional editors and is licensed under an Attribution-ShareAlike Creative Commons License . If you find the biography content factually incorrect or highly offensive you can edit this article at Wikipedia	Clifford Jarvis died the same century he was born in	entailment
Officials in Gladewater are working to figure out the cause behind elevated levels of lead in the city's drinking water. On Monday, the city sent out a notice advising residents that water tested from June to September had higher than usual levels of lead. Levels that were not a violation under fed	There too much lead in the drinking water.	entailment
The Air Force Services Activity is holding The Rock Festival for members of the Altus Air Force Base and those capable of getting on base. The Rock Festival is being held at the Altus Air Force Base Athletic Track on May 12 starting at 5 p.m. There are two musical acts scheduled for the festival, including Plain White T's and We The Kings.There will be food, drinks and games during the show. The event is not open to the public, but it is free for anyone with access to the base. Copyright 2018 RNN Texoma. All Rights Reserved.	The Festival will be on the 5th month of the year. 	entailment
Caroling on Main Street Members of Greens Farms Academy’s Harbor Blues, the all-female a capella group, performed carols on Westport’s Main Street today as part of the Westport Downtown Merchants Association’s holiday festivities. (CLICK TO ENLARGE) WestportNow.com photo	Westport Downtown Merchants Association has ties with Harbor Blues	entailment
"That time John Grisham defended men who watch child porn John Grisham's disturbing statements defending child porn consumers are coming back to haunt him. In a bizarre 2014 interview, the best-selling author said most men who watch kiddie porn are... John Grisham's bizarre defense of kiddie porn viewers ""We've got prisons now filled with guys my age, 60-year-old white men, in prison, who have never harmed anyone,” the best-selling author said."	John Grisham has illegal views	entailment
