sentence1	sentence2	gold_label
Tallahassee Mayor and Democratic gubernatorial candidate Andrew Gillum, speaks during a briefing on Hurricane Michael in Tallahassee, Fla., Wednesday Oct. 10, 2018. In the days before Hurricane Michael made landfall, Gillum blanketed the national airwaves, sounding much like the man he wants to replace, Gov. Rick Scott, who constantly urged residents to seek shelter and take the massive storm seriously. Gary Fineout AP Photo	Andrew Gillum knew the dangers	entailment
MELBOURNE will look to avoid stumbling against Carlton, just as it did in late 2016, when the rivals clash in Round 2 at the MCG. Melbourne's slim finals chances were dashed by the Blues in Round 22 last season but after a season-opening win against St Kilda, hopes are high at Demonland. The Demons have only won their first two games of the season twice since 1995. LIVE stream every game of every round of the 2017 Toyota AFL Premiership Season on FOX SPORTS. Get your free 2-week FOXTEL PLAY trial and start watching in minutes. SIGN UP NOW >> Follow the action in our live blog!	The Demons of Melbourne have high hopes for defeating Carlton this year.	entailment
by Ted Raymond, Newstalk 580 CFRA A stretch of Highway 17 between Pembroke and Mattawa has reopened, after being closed due to a fatal crash. Ontario Provincial Police say a motorcycle and a car collided just before 12:00 p.m. Friday, near Deux Rivieres. The motorcycle passenger was taken to hospital by air ambulance and was pronounced dead. The driver of the motorcycle was seriously injured. The driver of the other vehicle was not hurt. An OPP news release said westbound traffic was being diverted south on Highway 41 at Pembroke. The road reopened just after 6:30 p.m.	There were two people on the motorcycle that was in the accidnet	entailment
"Earnings before interest and tax jumped to 4.55 billion euros ($5.34 billion) from 1.90 billion a year earlier, VW said in a statement on Thursday. ""I am firmly convinced that our financial footing is adequate to cope with the transformation in the automotive industry and topics of the future,"" finance chief Frank Witter said in the statement."	The jump was over 2 billion	entailment
INDIANAPOLIS!! WIN PASSES TO SEE DEN OF THIEVES, Wednesday January 17th at 7pm!! 1) go to www.facebook.com/TheFilmYap. Share the post about this contest. 2) Go back to www.facebook.com/TheFilmYap and comment on the post about this contest. Synopsis: DEN OF THIEVES is a gritty Los Angeles crime saga which follows the intersecting and often personally connected lives of an elite unit of the LA County Sheriff’s Dept. and the state’s most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank of downtown Los Angeles. Comments comments	You can win tickets to see Den of Thieves, a movie set in Los Angeles, if you can come to see the movie in Indianapolis.	entailment
Clifford Jarvis (August 26, 1941 – November 26, 1999) was an American hard bop and free jazz drummer, who in the 1980s moved to London, England, where he died. This entry is from Wikipedia , the user-contributed encyclopedia. It may not have been reviewed by professional editors and is licensed under an Attribution-ShareAlike Creative Commons License . If you find the biography content factually incorrect or highly offensive you can edit this article at Wikipedia	Clifford Jarvis was born one year after August 26, 1940	entailment
Officials in Gladewater are working to figure out the cause behind elevated levels of lead in the city's drinking water. On Monday, the city sent out a notice advising residents that water tested from June to September had higher than usual levels of lead. Levels that were not a violation under fed	The cause of the lead in the drinking water is unknown.	entailment
The Air Force Services Activity is holding The Rock Festival for members of the Altus Air Force Base and those capable of getting on base. The Rock Festival is being held at the Altus Air Force Base Athletic Track on May 12 starting at 5 p.m. There are two musical acts scheduled for the festival, including Plain White T's and We The Kings.There will be food, drinks and games during the show. The event is not open to the public, but it is free for anyone with access to the base. Copyright 2018 RNN Texoma. All Rights Reserved.	There will be free drinks and food	entailment
Caroling on Main Street Members of Greens Farms Academy’s Harbor Blues, the all-female a capella group, performed carols on Westport’s Main Street today as part of the Westport Downtown Merchants Association’s holiday festivities. (CLICK TO ENLARGE) WestportNow.com photo	Westport has a big holiday festival.	entailment
"That time John Grisham defended men who watch child porn John Grisham's disturbing statements defending child porn consumers are coming back to haunt him. In a bizarre 2014 interview, the best-selling author said most men who watch kiddie porn are... John Grisham's bizarre defense of kiddie porn viewers ""We've got prisons now filled with guys my age, 60-year-old white men, in prison, who have never harmed anyone,” the best-selling author said."	John Grisham defended men who were watching child porn.	entailment
We note with regret the death of Mr. George Edward Taylor, age 73 of McEwen, who will have visitation today from 10 until service time at 2 at the Luff-Bowen Funeral Home in McEwen. Reverend David Deavers will officiate the services. Burial will follow in the McEwen Cemetery.	Taylor died at the age of 73.	entailment
FRANKFURT, Aug 16 (Reuters) - German tour operator TUI Germany said it was cancelling all holidays to Egypt until September 15 after the German foreign ministry advised against travel to Red Sea resorts. TUI Germany, part of Europe’s largest tour operator TUI Travel , said tourists already in the resorts could continue their holiday, or ask their holiday representative if they wished to leave early. The operator said it had 6,000 guests in the Red Sea resorts at the moment, adding the situation there remained peaceful.	The German foreign ministry asked TUI Germany to cancel travel to Egypt.	entailment
McGee (lower body) has been cleared for Friday's tilt with the Grizzlies. McGee will play through a glute contusion Friday night, but the injury will definitely be something to keep an eye on. He may see his minutes monitored more closely, in which case expect Damian Jones to see increased action.	McGee will be tilting on Friday with the Grizzlies.	entailment
Third WI-SA T20 abandoned KINGSTON: South Africa’s chances of making a comeback in the T20I series against Windies Women were dealt a severe blow when the third game of the series was abandoned without a ball being bowled. Torrential rain few hours before the game in Trinidad forced a delay to the start, but after the umpires conducted multiple inspections of the outfield post that, it was finally decided to call it off with the outfield remaining soggy. Windies Women now lead the series 2-0 after having won the first two games.	There is water in the outfield that caused the game to be cancelled.	entailment
LONDON, Dec 3 (Reuters) - The Paragon Group of Companies PLC : * Paragon grp of co’s - response to press speculation * Notes the recent press speculation * Paragon - confirms that it is in the early stages of considering the acquisition of Hampshire trust plc, * No certainty that a transaction will be concluded	 Paragon - confirms that it is in the early stages of considering the acquisition of New Hampshire trust plc, * No certainty that a transaction will be concluded	entailment
MINEOLA – An investigation is underway into a fatal fire in Mineola. Fire Marshall David Madsen said it was reported around 11:00 Monday night at the Mineola Motor Lodge on West Broad Street. Initial reports are a Hispanic male was killed and his body has been sent to a Tyler lab for autopsy. His identity has not been released at this time. The cause of the fire has not yet been determined.	Fire Marshall David Mudsan said the fire was reported around 11:00 Monday night at the Mineola Motor Lodge on West Broad Street.	entailment
A 36 year old man is appearing in court this evening charged with an alleged hit and run incident in west Dublin yesterday that left two men injured, one critically. Paul Connolly from Cregg Court, Roberstown Co. Kildare faces three charges, including one of failing to keep a vehicle at the scene of an accident. The incident happened yesterday morning near Coolmine train station. He's also been charged with two counts of dangerous driving causing serious bodily harm.	Paul Connolly has been charged with three separate offenses.	entailment
