Sentiment	Text
Neutral	#Hezbollah group’s forces had seized a road to the NW of #Mosul linking the city to Syria’s #Raqqah 
Positive	OMG 3 out of @jimmyfallon's #GilmoreGirlsTop4 will be on @FallonTonight!!! #Hyperventilating :grinning_face_with_big_eyes::grinning_face_with_big_eyes::grinning_face_with_big_eyes::upside-down_face::upside-down_face::upside-down_face: @GilmoreGirls @netflix
Negative	@bpolitics The Obama Admin is forcing products from non-industries on us. Remove subsidies and no solar, no biofuel, etc.
Positive	@carbajalbelind1 @AuditorioTelmex @ricky_martin very happy for u Bel, I really hope there will be a #owt dvd :woman_dancing::raising_hands::person_raising_hand:
Negative	I propose euthanasia chambers for all children who wander into my work without an adult and try hiding in the clothing racks
Positive	@miltonalvarado_ @NaGOATo Makoto's looks great 
Positive	Powerful. #MannequinChallenge 
Neutral	US electoral college a rubber stamp, says Talbott 
Negative	@co_rapunzel4 @miranibhavesh Those are the 1s. Their hate list includes Warren, Feinstein, Pelosi, Bader, some of the women I most admire.
Positive	Oregon is once again leading the way in driving voter participation. Hope more states follow suit. 
Neutral	Watching #MichaelMoore in #Trumpland. #resist #protest #trump
Neutral	#Hezbollah Martyr Mohammad Shalhoub from Sour Martyred after sustaining injuries in 1070 #Aleppo a month ago 
Positive	Finally I'm gonna watch all eps that I missed #Lucifer #Supernatural #Arrow #Flash #Class #TheWalkingDead #TheBigBangTheory :face_with_tears_of_joy::heart_with_ribbon:
Negative	@MarioV7 it's soft conservatives who are cool with gay people (sometimes blacks) and drone strikes versus genuine progressives.
Negative	@DrJillStein you are out of your mind, nuts, didnt the dems make a big issue out of DJ Trump not accepting the vote in case Clinton wins?
Negative	@UTxBeezykingwi Yeah they get paid, but not even minimum wage, thats my point. Their job can underpay them because of tips excuse.
Positive	Its #NationalFastFoodDay .. surely that's all the #wednesdaymotivation you need. #getinmybelly 
Negative	@Keep_Pounding @Thejayman33 Tim Duncan has never committed a foul either. Some people just can't get over personal issues they have w/ some1
Positive	@magbedu @chikatwerks1 @MaDailyGist hi love the tweet, got stuff on social security tweet
Neutral	NANCY PELOSI & HARRY REID HAVE BEEN TWO OF THE BIGGEST BENEFICIARIES AMONG UNTOLD OTHERS FROM BOTH PARTIES! DINO&RI… 
Neutral	"FRANCE'S FRONT NATIONAL MARINE LE PEN: ""ITALIANS HAVE DISOWNED THE EU AND RENZI."" "
Positive	Gold heart earrings, Textured gold heart charm dangle earrings, heart jewelry, valentines.. 
Negative	#Yemen #Hillary #Trump #MAGA Corruption to kill. 
Negative	Perhaps it's time to depose Pope Francis and elect a faithful priest to be his successor: Robert Cardinal Sarah. 
Negative	@VOlDFUCKER like pre tpp or his death
Negative	Retweeted Oldman (@gary_stone0):@Corraandrews @Tee_Quake @COlphie @TeamTrumpAZ @trump2021 @DrJillStein ripping off the dems again
Neutral	. @wikileaks #Yemen  #Vietnam scene difference scurrying to #HillaryClinton
Negative	If we are the #Deplorables,that makes them #Despicables , #Unelectables & #Failures
Negative	@stepoya @DefraudTheVote @mike_pence Well you're an idiot then. Goodbye.
Positive	Imagine a film with Zac Efron in it, actually not making a joke about how good looking he is
Negative	#PresDT's gonna sell #NASA to #Putin...Why not(?) #NasasPutinsBitch anyways 
Negative	@CCFA_MN seriously guys homeopathy?
Positive	Always #Believe. 
Neutral	A Battle to Change Medicare Is Brewing, Whether Trump Wants It or Not - The New York Times 
Negative	@rockmonster1232 @DavidDJJames @utahjazz @BYUbasketball I'm sure it's Coach K's fault :thinking_face:
Negative	@realDonaldTrump you were elected with promise to keep #Medicaid #Medicare Paul Ryan was not elected #POTUS PLEASE do not kill w his plan
Negative	#Israel accuses #Iran of using commercial airline to transport weapons to #HezbollahTV7 Israel News 
Positive	How #prototype #manufacturing is helping the #environment 
Negative	@gerfingerpoken.Abortion KILLS 3000 HUMANS/dayIf don't START with ABORTIONYOU'RE just a poser with gun control or lives matter#MAGA.
Neutral	@Theycallmetobi Tony romo needs a new team lol
Positive	@CsmcPhlospher @ArepaEater A very good description of Maduro: PIN HEAD. Thank you.
Positive	@HillaryClinton #StillWithHer Thank you for everything.  You r my #inspiration.
Negative	Marijuana stocks: Don’t listen to these morons // Medical marijuana investing cannabis pot… 
Negative	@da_minicooper and if I still don't have a boo by Valentines then I'm blaming you
Positive	Sang one my favourites last night for the Leonard Cohen Tribute. Such an amazing night to be a… 
Positive	@VoucherAngels #Hatchimals # Hatch these are like gold dust now :green_heart::green_heart:
Negative	#fucking zac efron porn pass xxx 
Positive	Ben Carson;One of the reasons comedians will have material for years! 
Positive	William Dunbar nailed it about Misha four years ago. It's still one of the best (temporary) political obituaries... 
Positive	I'm really looking forward to FFXV but I haven't actually finished Persona 5 yet...
Positive	IFC signed agreement with Bank of #Palestine to scale up lending operations to smaller firms, especially women-owne… 
Positive	Congrats to @colsonwhitehead @DrIbram & @repjohnlewis for their #NBAwards. Thank you for telling your stories. 
Positive	"@npdrifter  ""A great man""...and you call conservatives backward?"
Neutral	@globeandmail alt-right was adopted by Deplorables. Average middle Americans.  I've now moved to Libertarian. @infowars
Neutral	$BAM! $ADS $ARE $FOR $ADS$I $AM $FIT$PAY $OUT $CUBS
Positive	New #BeautyAndTheBeast photo of Gaston wooing Belle @EmmaWatson @TheRealLukevans: 
Positive	Jacob :victory_hand_light_skin_tone::money-mouth_face:  #screamqueens 
Negative	"@andieiamwhoiam regarding her case being a waste to taxpayers when other murderers were not ""death penalty guarantees"" due to demographics"
Neutral	One by One, #ISIS Social Media Experts Are Killed as Result of F.B.I. Program 
Positive	On sustainable goals... more countries are making pledges to drop the use of fossil fuels and… 
Positive	Welcome to the world according to #Trump #TrumpCabinet #TrumpTransition #TrumpTransitionTeam #TrumpTeam 
Positive	‘Google Earth VR’ Launches For Free To Let You Fly Around The World 
Negative	-- @mike_Pence.. Stop pushing #NeverRomney as @realDonaldTrump SOS you are hurting Trump's transition with incompetency. Pick another SOS
Negative	#Uber should try to solve their glitches with #BRTA restrictions and try ASAP for Uber availability in #Dhaka.
Positive	Thank you Michael Crichton & @HBO. @WestworldHBO may very well be the best thing I've ever watched. Sorry @BreakingBad_AMC. #Westworld #HBO
Negative	@friendofjeremy @downbeat63 Mass is already behind Corbyn, but he continues to appease the Blairites.The rightists must be kicked out.
Neutral	I bought Seventh Generation Hand Wash, Fresh Citrus, 12 Ounce in support of End Animal Testing... 
Positive	TPP Grants Banks Terrifying Secret Powers on YouTube 
Positive	@LaCroix yeah I know I understand him and can respect as such is returned @KatrinaNation @najatvb @EPN @TzipiHotovely @poroshenko
Positive	Homeopathy is also good for our kids, with no harmful side-effects! 
Neutral	Sleep baby sleep
Negative	@Dwarfpoo @NAInfidels @TruthIwant2 why don't you accuse #Israel of aiding #Hamas 
Positive	I find myself humming the notes of #ThisIsUs  @TheMandyMoore sang a few episodes ago.  Missing her angelic voice.  Love the show.
Positive	It is very important to know that vaccines do not cause autism
Neutral	when the test sample is so cute & fluffy but you have to do cervical dissociation on it... :((#euthanasia
Negative	@petestavros @megynkelly you obviously don't watch her show! I like FOX so I watch I don't like her show!To phony f… 
Negative	McCoskrie: Euthanasia – we don’t need it 
Positive	@Lookinabout yet we won the popular vote we already out number u. And we are slowly expanding into the rural/suburban area
Neutral	Tipp native and heavyweight boxer Con Sheehan and recently retired Tipp stalwarts among Jackie Cahill's guests on... 
Positive	@csuwildcat Longer term prediction re this: self-driving cars => lower car ownershipelectric cars => swappable parts => easier repairs
Positive	Medicare is more cost-effective than private insurers and could serve as the foundation for a single-payer system. 
Negative	@StandLoneCmplex Her best segment was the bit on immigration near the end. I thought she did fairly poorly throughout the first 24 minutes.
Positive	Microsoft and The Linux Foundation - friends at last - as Satya continues to focus on the future.  
Neutral	When Walker wins a Cy Young you'll forget all about JS. Power arms take longer to develop (like Scherzer.... ouch) 
Positive	It's definitely Christmas season! My social media news feeds have been all about #Hatchimals since midnight! Good luck parents! :Christmas_tree:#santagot1
Negative	Beware of scarcity marketing tactics for the holidays! Wanna save money? Just wait it out #teachecon #Hatchimals… 
Neutral	.@AndreaChalupa tweet storms do not explain her rapid follower increase starting Nov 1st - gained 7k in just 3 wks,… 
Neutral	#UnitedNations planned #GunGrab. #NRA #SecondAmendment #MolonLabe #ComeAndTakeIt #MichaelBloomberg 
Negative	I gotta write EVERY SINGLE FIC with robots questioning their orientation. Lord
Negative	@Shane106320: Holy fuck you're stupid.The link was in the Tweet u quoted.Have you considered Colorado's new euthanasia program?
Positive	Prophesized collapse of organized religion in society? We can only hope. They think Francis will be the last Pope. He's a hard act to follow
Negative	@thebeachwife @WayneDupreeShow It's probably funded by George Soros. He's a vile bastard that hates America.
Negative	Outed As Russian Spies
Positive	@Mia3lias good thing donnie trump's coming to take them bad hombres out of here.
Positive	OMG Niall's eyes! :o <3#MPN #OneDirection 
Neutral	@actparty English has opposed abortion voluntary euthanasia ,physician assisted suicide,.Your new boss will oppose it ....
Positive	Yeah where's season 2 gonna go? Incredible season finale yo #WestWorld
