sentence1	sentence2	gold_label
Officials in Gladewater are working to figure out the cause behind elevated levels of lead in the city's drinking water. On Monday, the city sent out a notice advising residents that water tested from June to September had higher than usual levels of lead. Levels that were not a violation under fed	There too much lead in the drinking water.	entailment
Janice Young answers her front door as a neighbor asks for something to eat. Young lost most of her belongings in the flood of tropical storm Harvey. Now that she is getting back on her feet, she enjoys preparing food for neighbors less fortunate...more Janice Young answers her front door as a neighbor asks for something to eat. Young lost most of her belongings in the flood of tropical storm Harvey. Now that she is getting back on her feet, she enjoys preparing food for neighbors less fortunate than herself. REUTERS/Chris Aluka Berry Close	Janice Young likes to volunteer.	entailment
The Real Estate Pros are focused on providing you with the best results and service in the industry. They listen carefully to understand your real estate goals and work hard to create solutions that make sense for you. They have extensive knowledge of the Rock Springs, WY area and can help you find the right home for you or the right buyer for your home. Related	The realtors in Rock Springs buy and sell property.	entailment
April 22 Insurer ACE Ltd reported a quarterly profit that beat analysts' estimates as commercial insurance rates continued to improve in the United States. The company's net income fell to $953 million, or $2.77 per share, for the first quarter from $973 million, or $2.84 per share, a year earlier. The company's operating income was $2.17 per share. Analysts on average had expected operating income of $1.94 per share, according to Thomson Reuters I/B/E/S.	Commercial insurance rates in the United States had been worse.	entailment
The wind started to pick up as the first golfers went out to start Round 2 of the Masters on Friday. William McGirt, who started the day four strokes in back of Charley Hoffman, came out a little soft with a bogey on the first hole. But then birdies on two and four took him to four under, three shots back. Hoffman, who had an unbelievable 65 on Thursday, is scheduled to tee off until 10:01 a.m. EDT. Lee Westwood, at two under, is to go off at 10:12 a.m. There are eight golfers at one under.	eight golfers are tied	entailment
"ABU DHABI Consensus is growing among oil producers that their supply restraint agreement should be extended after its initial six month term, but there is as yet no agreement on the subject, Saudi Energy Minister Khalid al-Falih said on Thursday. ""There is consensus building but it's not done yet,"" he told reporters on the sidelines of a conference in the United Arab Emirates. Asked about non-OPEC producer Russia, Falih replied: ""We are talking to all countries. We have not reached an agreement for sure, but the consensus is building."" (Reporting by Rania El Gamal, Editing by William Maclean)"	Gamal did not edit this article	entailment
CLEVELAND (AP) _ These Ohio lotteries were drawn Monday: 07-08-20-31-35-36, Kicker: 5-3-9-9-0-6 (seven, eight, twenty, thirty-one, thirty-five, thirty-six; Kicker: five, three, nine, nine, zero, six) Estimated jackpot: $30 million 7-0-1 (seven, zero, one) 6-9-0 (six, nine, zero) 7-3-3-6 (seven, three, three, six) 2-1-0-1 (two, one, zero, one) 8-8-4-6-5 (eight, eight, four, six, five) 1-2-7-5-5 (one, two, seven, five, five) Estimated jackpot: $164 million 01-11-23-30-32 (one, eleven, twenty-three, thirty, thirty-two)	It is not the Indiana lottery.	entailment
MEXICO CITY Mexican President Felipe Calderon said on Tuesday, via his Twitter account, that there was no serious damage reported from a strong earthquake that hit near the country's western coast and shook buildings as far as the capital. Mexico City mayor Marcelo Ebrard said, also via his Twitter account, that he saw no damages as he surveyed the city from a helicopter. (Reporting By Mexico City Newsroom; editing by Jackie Frank)	Mayor tweeted about the earthquake before or after the President's tweet.	entailment
Heavy rain has lashed several parts of Karnataka in past few days. In Mangalore, the consecutive rainfall throws the normal life out of gear. Locals witnessed heavy water logging in the streets as heavy showers lashed the city. Locals faced difficulty in going to their workplaces as vehicles moved with snail's pace on water logged roads. The monsoon has covered the entire country, with the Southwest monsoon getting busier over northwest and northeast India.	Karnataka was entirely covered by the monsoon.	entailment
If you haven’t seen the Yard Goats shortstop Brendan Rodgers yet, you better go soon. The top prospect in the Colorado Rockies system has been on quite a tear lately. He hit three home runs last weekend against the Trenton Thunder and he can play shortstop with the best of them. Rodgers says that despite his billing as a top prospect, he still has lots to learn. “I try not to think about it to much, just go out there and play hard, and hopefully good things will come,” he said. Check out the video above for more. More stories by Erik Dobratz	Brendan Rodgers is a humble man. 	entailment
"Today for the ""Local Lunchbox"" segment on the Von Munz Vinyl Variety Show Eric played for you: Turn It On by Whips Slow Walker s/t LP by Slow Walker Rubicon by Space Raft City Slicker by Slow Walker Turn It On by Whips Local Lunchbox is brought to you by Outpost Natural Foods. Tune in Friday on Zero Hour with Andy for your next tasty treat!"	Eric and Andy are hosts of the show	entailment
